twitter id,twitter text,lable
1234143137800392704,"b'@BenLocwin @thmetcalfdc @APSMeetings Immediate risk, yes. Imminent risk of Covid-19 is way worse than the flu. Both in terms of infection rate and mortality, the economic costs of social distancing, and the health and safety concerns with overcrowded hospitals.'",0
1234229687720656897,"b'The world gets ready - Covid-19 is now in 50 countries, and things will get worse | Briefing | The Economist.  #TheEconomist explains how #SocialDistancing can #FlattenTheCurve of the #coronavirus #pandemic.  #WashYourHands #DontTouchYourFace #CDCCoronaBot https://t.co/t55MnxE0Hr'",0
1234174078841344000,"b'@kakape Speed and the Chinese attacked #SARS_CoV_2 #SARSCoV2 on a social basis, social distancing! They went after it at the community level and outputs are reduced infections, stop the chain of infections. #CoronaVirusUpdate #Coronavid19 #CoronaVirusCanada #coronavirus'",1
1234060951281860608,"b""The importance of 'social distancing' to help the #NHS tackle #coronavirus  / #covid19\n\nEveryone can (and should) help to 'flatten the curve': protect yourselves, your family and your community. https://t.co/CfclWtH1Cs""",2
1234572823655374848,b'#2020election protect gathering to vote | \xe2\x81\xa6@ewarren\xe2\x81\xa9 #socialDISTANCING #Coronavirus: two patients die in #France as four new cases detected in #England \xe2\x80\x93 live updates | Coronavirus outbreak | The Guardian plus USApolitics https://t.co/QynwGfOPr9  act https://t.co/tNpCrZFHzj',1
1234415143062208512,"b'All key public health measures. Social distancing: avoid crowded places, large gatherings Distance of 3-6 feet will slow spread of novel Coronavirus, but more is better. https://t.co/N4BwmE18Q1'",1
1234527514673868800,b'#10km3x2 map population based #serology test of #COVID19 |number of @asymptomatic cases | #socialdistancing avoid crowds|WASHhands|#CCC =casesCLUSTERScommunities|LANCET https://t.co/XqjBwMDfyO think repair #NATURE @Fridays4future @ukycc practice local #EcologicalRestoration PEACE https://t.co/MUi2p2W6L0',2
1234294920850149376,"b'I don\xe2\x80\x99t know who to credit for this, but it\xe2\x80\x99s too good not to post! \n\nEven \xe2\x81\xa6@NeilDiamond\xe2\x81\xa9 knows, social distancing and good hand hygiene are proven ways to prevent the spread of cold, #flu , and #coronavirus! https://t.co/xNfH3akqXg'",2
1234406347862470656,b'malaysian ikea cabinet\ntake note\nself quarantine \ndont beban rakyat n spread diseases\nif u feel u at risk practise  ultimate social distancing  at home https://t.co/OGKgWmnF1t',1
1234648941813272576,"b'CDC is concerned about the #coronavirus and says that businesses in the US should plan for ""social distancing"" such as arranging employees to work from home. Is your business prepared? \xf0\x9f\x92\xbb\xf0\x9f\x93\xb1 #telecommute #remotework https://t.co/2iVUn4CHVG via @SHRM'",1
1234944111070896129,"b""#RemoteWorkers\nAs the new coronavirus continues to spread, the CDC has recommended \xe2\x80\x9csocial distancing\xe2\x80\x9d as one way to combat the spread of disease. And working from home is one logical step to stay away from people. Here's how to do\xe2\x80\xa6https://t.co/mfvGtYriiC https://t.co/VmsxtORteh""",1
1234811166112833542,"b'@SkyNews @JuliaHB1 Isn\xe2\x80\x99t that taking unnecessary risk, shaking hands, if the people are known to, or potentially have Coronavirus? What\xe2\x80\x99s the point in social distancing of 1 to 2 metres if you shake hands, have bodily contact?'",0
1235311810728931337,b'\xe2\x98\x80\xef\xb8\x8fProtect the vulnerable from #COVID19.\n\nShare this excellent social distancing infographic h/t @PlacerCA: https://t.co/fSCD1evDpg\n#California #coronavirus #Flu #Cold\n#Diabetes #COPD #CHF #Cancer https://t.co/cBRwBX7fKC',1
1235318747172352002,b'@NYGovCuomo @HealthNYGov I think reason is closing or staggering public transportation so it\xe2\x80\x99s not so crowded. It\xe2\x80\x99s called social distancing - the easiest way to mitigate an outbreak. Tell employers to stagger schedules so there\xe2\x80\x99s no crowded rush hour. #CoronaOutbreak #coronavirusnewyork',1
1235332783075209216,"b'Can some better designers than me please make some war propaganda poster designs asking people to practice social distancing, wash hands, avoid public gatherings, etc? #COVID19 #coronavirus #COVID19seattle'",1
1235339382762205202,b'#Coronavirus @VP knows about social distance since he doesn\xe2\x80\x99t think women should be able to have lunch with men they aren\xe2\x80\x99t married to. So scary that the man who made #HIV crisis worse is in charge',0
1235262164178546691,"b'@GovCanHealth Please start mass testing outside GP/hospitals, close schools &amp; large gatherings, mandatory social distance. Contract trace and isolation. People in China is in awe of the Occidental countries passivity towards #COVID19. Act now please!'",1
